data,pais,variavel,valor,atualizacao
1988-01-01,Canada,"Inflação (Anual, %)",4.02823414871611,2023-12-24T13:31:52Z
1989-01-01,Canada,"Inflação (Anual, %)",4.98362189985958,2023-12-24T13:31:52Z
1990-01-01,Canada,"Inflação (Anual, %)",4.78047693336304,2023-12-24T13:31:52Z
1991-01-01,Canada,"Inflação (Anual, %)",5.62586408593005,2023-12-24T13:31:52Z
1992-01-01,Canada,"Inflação (Anual, %)",1.49013290374545,2023-12-24T13:31:52Z
1993-01-01,Canada,"Inflação (Anual, %)",1.86507936507939,2023-12-24T13:31:52Z
1994-01-01,Canada,"Inflação (Anual, %)",0.165562913907291,2023-12-24T13:31:52Z
1995-01-01,Canada,"Inflação (Anual, %)",2.14876033057849,2023-12-24T13:31:52Z
1996-01-01,Canada,"Inflação (Anual, %)",1.57053112507138,2023-12-24T13:31:52Z
1997-01-01,Canada,"Inflação (Anual, %)",1.62121638084531,2023-12-24T13:31:52Z
1998-01-01,Canada,"Inflação (Anual, %)",0.99594245665802,2023-12-24T13:31:52Z
1999-01-01,Canada,"Inflação (Anual, %)",1.73484295105919,2023-12-24T13:31:52Z
2000-01-01,Canada,"Inflação (Anual, %)",2.71943995691976,2023-12-24T13:31:52Z
2001-01-01,Canada,"Inflação (Anual, %)",2.52512013979906,2023-12-24T13:31:52Z
2002-01-01,Canada,"Inflação (Anual, %)",2.25839440940855,2023-12-24T13:31:52Z
2003-01-01,Canada,"Inflação (Anual, %)",2.75856321360112,2023-12-24T13:31:52Z
2004-01-01,Canada,"Inflação (Anual, %)",1.85725871857256,2023-12-24T13:31:52Z
2005-01-01,Canada,"Inflação (Anual, %)",2.21355203439767,2023-12-24T13:31:52Z
2006-01-01,Canada,"Inflação (Anual, %)",2.00202539534161,2023-12-24T13:31:52Z
2007-01-01,Canada,"Inflação (Anual, %)",2.13838399266837,2023-12-24T13:31:52Z
2008-01-01,Canada,"Inflação (Anual, %)",2.37027067444299,2023-12-24T13:31:52Z
2009-01-01,Canada,"Inflação (Anual, %)",0.299466803009299,2023-12-24T13:31:52Z
2010-01-01,Canada,"Inflação (Anual, %)",1.77687154092627,2023-12-24T13:31:52Z
2011-01-01,Canada,"Inflação (Anual, %)",2.91213508872351,2023-12-24T13:31:52Z
2012-01-01,Canada,"Inflação (Anual, %)",1.51567823124517,2023-12-24T13:31:52Z
2013-01-01,Canada,"Inflação (Anual, %)",0.938291897815317,2023-12-24T13:31:52Z
2014-01-01,Canada,"Inflação (Anual, %)",1.90663590717861,2023-12-24T13:31:52Z
2015-01-01,Canada,"Inflação (Anual, %)",1.12524136094277,2023-12-24T13:31:52Z
2016-01-01,Canada,"Inflação (Anual, %)",1.42875954701085,2023-12-24T13:31:52Z
2017-01-01,Canada,"Inflação (Anual, %)",1.59688412852977,2023-12-24T13:31:52Z
2018-01-01,Canada,"Inflação (Anual, %)",2.26822567248103,2023-12-24T13:31:52Z
2019-01-01,Canada,"Inflação (Anual, %)",1.94926902411593,2023-12-24T13:31:52Z
2020-01-01,Canada,"Inflação (Anual, %)",0.716999632307827,2023-12-24T13:31:52Z
2021-01-01,Canada,"Inflação (Anual, %)",3.39519318527528,2023-12-24T13:31:52Z
2022-01-01,Canada,"Inflação (Anual, %)",6.80280115341613,2023-12-24T13:31:52Z
1987-01-01,China,"Inflação (Anual, %)",7.23383553065609,2023-12-24T13:31:52Z
1988-01-01,China,"Inflação (Anual, %)",18.8118179448753,2023-12-24T13:31:52Z
1989-01-01,China,"Inflação (Anual, %)",18.2456383621648,2023-12-24T13:31:52Z
1990-01-01,China,"Inflação (Anual, %)",3.05229012075233,2023-12-24T13:31:52Z
1991-01-01,China,"Inflação (Anual, %)",3.55668565220452,2023-12-24T13:31:52Z
1992-01-01,China,"Inflação (Anual, %)",6.35398134024869,2023-12-24T13:31:52Z
1993-01-01,China,"Inflação (Anual, %)",14.6100786356602,2023-12-24T13:31:52Z
1994-01-01,China,"Inflação (Anual, %)",24.2569897243361,2023-12-24T13:31:52Z
1995-01-01,China,"Inflação (Anual, %)",16.7912251650916,2023-12-24T13:31:52Z
1996-01-01,China,"Inflação (Anual, %)",8.31316028893909,2023-12-24T13:31:52Z
1997-01-01,China,"Inflação (Anual, %)",2.78646505531882,2023-12-24T13:31:52Z
1998-01-01,China,"Inflação (Anual, %)",-0.773186011549318,2023-12-24T13:31:52Z
1999-01-01,China,"Inflação (Anual, %)",-1.40147268276465,2023-12-24T13:31:52Z
2000-01-01,China,"Inflação (Anual, %)",0.347811226864587,2023-12-24T13:31:52Z
2001-01-01,China,"Inflação (Anual, %)",0.719125609120114,2023-12-24T13:31:52Z
2002-01-01,China,"Inflação (Anual, %)",-0.731970902350244,2023-12-24T13:31:52Z
2003-01-01,China,"Inflação (Anual, %)",1.12760348729637,2023-12-24T13:31:52Z
2004-01-01,China,"Inflação (Anual, %)",3.82463743108159,2023-12-24T13:31:52Z
2005-01-01,China,"Inflação (Anual, %)",1.77641407667571,2023-12-24T13:31:52Z
2006-01-01,China,"Inflação (Anual, %)",1.6494309945586,2023-12-24T13:31:52Z
2007-01-01,China,"Inflação (Anual, %)",4.81676767378834,2023-12-24T13:31:52Z
2008-01-01,China,"Inflação (Anual, %)",5.92525137041092,2023-12-24T13:31:52Z
2009-01-01,China,"Inflação (Anual, %)",-0.728165250932898,2023-12-24T13:31:52Z
2010-01-01,China,"Inflação (Anual, %)",3.17532475269199,2023-12-24T13:31:52Z
2011-01-01,China,"Inflação (Anual, %)",5.55389892257493,2023-12-24T13:31:52Z
2012-01-01,China,"Inflação (Anual, %)",2.61952432645541,2023-12-24T13:31:52Z
2013-01-01,China,"Inflação (Anual, %)",2.62105001748115,2023-12-24T13:31:52Z
2014-01-01,China,"Inflação (Anual, %)",1.92164162788521,2023-12-24T13:31:52Z
2015-01-01,China,"Inflação (Anual, %)",1.43702380935655,2023-12-24T13:31:52Z
2016-01-01,China,"Inflação (Anual, %)",2.00000182191943,2023-12-24T13:31:52Z
2017-01-01,China,"Inflação (Anual, %)",1.59313600071436,2023-12-24T13:31:52Z
2018-01-01,China,"Inflação (Anual, %)",2.07479039965576,2023-12-24T13:31:52Z
2019-01-01,China,"Inflação (Anual, %)",2.89923416358227,2023-12-24T13:31:52Z
2020-01-01,China,"Inflação (Anual, %)",2.41942189457782,2023-12-24T13:31:52Z
2021-01-01,China,"Inflação (Anual, %)",0.981015135544882,2023-12-24T13:31:52Z
2022-01-01,China,"Inflação (Anual, %)",1.97357555739051,2023-12-24T13:31:52Z
1969-01-01,Cameroon,"Inflação (Anual, %)",-1.1015911872741,2023-12-24T13:31:52Z
1970-01-01,Cameroon,"Inflação (Anual, %)",5.8580858085174,2023-12-24T13:31:52Z
1971-01-01,Cameroon,"Inflação (Anual, %)",4.01402961809857,2023-12-24T13:31:52Z
1972-01-01,Cameroon,"Inflação (Anual, %)",8.0929186957962,2023-12-24T13:31:52Z
1973-01-01,Cameroon,"Inflação (Anual, %)",10.3847487003839,2023-12-24T13:31:52Z
1974-01-01,Cameroon,"Inflação (Anual, %)",17.2329334923306,2023-12-24T13:31:52Z
1975-01-01,Cameroon,"Inflação (Anual, %)",13.5533294051262,2023-12-24T13:31:52Z
1976-01-01,Cameroon,"Inflação (Anual, %)",9.93065056369725,2023-12-24T13:31:52Z
1977-01-01,Cameroon,"Inflação (Anual, %)",14.6983091581554,2023-12-24T13:31:52Z
1978-01-01,Cameroon,"Inflação (Anual, %)",12.4630523441787,2023-12-24T13:31:52Z
1979-01-01,Cameroon,"Inflação (Anual, %)",6.58061081902711,2023-12-24T13:31:52Z
